author,author_url,title,rating,verified,types,body,product_id,review_url,review_date,helpful
C. Marvin,/gp/profile/amzn1.account.AHHOFEKSODNLVIKTLW56KA7O4X5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Awesome speaker, no lifespan",3,Verified Purchase,Style: New,"As far as Bluetooth speakers go, the UE Megaboom KICKS. I've owned two of these and have used them paired together and separately for about 2 years.These are compact enough to fit in the cup holders on my backpack, but they still pump out some serious volume across the spectrum. The bass is enough to not feel flat, but it could be a smidge deeper. The rest of the spectrum shines through.Where these speakers really hit the mark is when they're paired together. They pair in stereo so they have a left and right channel. I had them on opposite sides of a 25ish x 15ish room and it was the next best thing to having actual surround sound. I would place them in my backpack cupholders on opposite sides of one another when I longboarded and it was phenomenal.Here's the bad:They're inconsistent with charging, even when using the official UE charger. Sometimes they simply won't charge despite the charging light indicating it is. Sometimes that light won't even come on and you have to factory reset the device multiple times for it to work. Occasionally that won't even work, and trying days later the speaker miraculously works again. I can't explain it, but I've gone through two of these and they've both experienced this.Pairing both speakers together through the UE app is inconsistent at best. Pairing one speaker will sometimes unpair the other. It seldom worked on the first attempt. If you received a phone call while they both paired, one of the speakers would unpair and you'd have to undergo the pairing process through the app again. This was on an iPhone 7 Plus.This isn't that bad of an issue, but more of a pet peeve. Even if the device is turned completely down, the ""device voice"" for low battery will be at seemingly max volume as will be the chime that plays when you turn it on.The really bad:I left the speaker unattended while charging (my fault), and when I came back, the mini USB connector had MELTED INTO THE CHARGING PORT. The shielding around the wire and mini USB connector melted into the material around the port. It was so melted together it took a decent amount of effort with a knife to cut it away. I was not home when this occurred, but thankfully it didn't start a major fire and was cool to the touch when I found it. All products used were from the UE Megaboom box. There were no 3rd party components.All-in-all, I might actually purchase two of these again if the price drops. If it wasn't for the potential fire or the charging issues I've had with these, they would EASILY get five stars.",B00TXBOWVA,/gp/customer-reviews/R332SJC1IN71E9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00TXBOWVA,"January 5, 2019",22
Amazon Customer,/gp/profile/amzn1.account.AEQLQO4R475I4AAF56FESKDZIQ6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Do not update the firmware!!!,3,Verified Purchase,Style: New,"I would give this speaker 5 stars. Great sound, awesome functions. I was able to play through my Apple TV and also pair with my I-phone so when a call came in, I'd answer through the speakerphone and the music would seamlessly mute. Then I updated to the recommended latest firmware. Now I can't pair two devices. So I call their customer service. Really nice guy. He advises me to do a factory reset. Now the tap feature to forward songs doesn't work nor the double pair feature. I'm sending this one back to get a new one with the old firmware that works. Also looked online and the problems been around for a year or two. Logitech needs to fix their bugs.",B00TXBOWVA,/gp/customer-reviews/R5KNDZ5711SZS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00TXBOWVA,"May 9, 2018",17
Lesly Blasick,/gp/profile/amzn1.account.AETUQW6UZNEHJHVSGMIYSQ6MNKTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,I am not sure why this happens but just plan ahead so that you are good to go other then that this is worth the ...,3,Verified Purchase,Style: New,"To start you get everything they say you will get from this thing and more the audio, wireless, ect. The only thing I wish was changed or made different was the way you charge it. Because the way it’s charged is you have to turn it upside down and most of the time you have to keep it on the charger unless you plan on the day or week you are going to use it. The reason you have to is cause at least from my experience the battery does not hold a charge very well so it’s depleted if you let it sit to long powerd off. I am not sure why this happens but just plan ahead so that you are good to go other then that this is worth the price but better when it goes on sell for a lot less.",B00TXBOWVA,/gp/customer-reviews/R2326VG0VAR5VU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00TXBOWVA,"November 17, 2017",11
DW,/gp/profile/amzn1.account.AEQZWTX3V5XPBFMTZD2YG3S6Y6AA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"""shockproof""?  mine wasn't.",3,Verified Purchase,Style: New,"I liked the sound quality and volume, given the price point, battery life, and other features.  The device does seem to be quite resistant to water, but the claim that it's shock proof turned out to be untrue in my experience.  I used it while doing yard work, tubing down a river, as an extension of Amazon Alexa, and one fateful night, while in a hot tub.  Having it submerge in water that night, as with the river trip as mentioned, was no problem at all.  The issue turned out to be that a drop from a height of 3 feet (top edge of hot tub where it fell from is almost exactly 36 inches off the ground) to the concrete patio below was enough to make the device turn off and never turn on again.I looked up the shockproof claim and it's 1 meter (3.28 feet).  I also looked up the warranty and it's 2 years.  Being that mine was purchased mid-2017, I decided to see what Logitech (bought UE in 2008) support would do for me.  I read a good number of complaints online about online support (chat, email) and some suggestions to call phone support instead, so I started there.  I was on the phone with technical support for about 15-20 minutes before the rep said she had received approval to replace the device.  Another 10-15 minutes or so (33.5 minutes total) to wrap up shipping and notation.  I'm supposedly being sent a replacement device and am told I'll get an email in the next 24 hours with UPS shipping information.  If I don't update this review, it should be assumed that I received and am satisfied with the replacement.",B00TXBOWVA,/gp/customer-reviews/R2ILKOBE4QGFJZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00TXBOWVA,"January 18, 2019",5
Michael Carl Veedock,/gp/profile/amzn1.account.AEJIV7S5MN52ZNHWF25Z7YXEKWLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Bass blown after 1 month,1,Verified Purchase,Style: New,"I bought this because it was advertised to be the best choice for a solid bluetooth speaker.  The Bass is completely blown on mine, after one month.  I want to return this but I'm a week over my ""return date"".  If I turn the bass down all the way, its the only method I have of enjoying the music (of course the lack of any bass makes it less enjoyable).  I really am hoping to exchange this as I feel I received a lemon on this one.",B00TXBOWVA,/gp/customer-reviews/R4EM2673B3AYW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00TXBOWVA,"August 24, 2017",13
Matthew Lurie,/gp/profile/amzn1.account.AE2JUW5SKVGR3DCXATHCJNDNCDUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"DO NOT BUY, STOPS WORKING AFTER 9 MONTHS",1,Verified Purchase,Style: New,"after only 9 months, the product has completely stopped working. it wont turn on regardless of having a full charge. and it has had zero use other than normal speaker wear-and-tear. i never took it near the water or anything. DO NOT BUY THIS PRODUCT, SAVE YOUR MONEY AND GO ELSEWHERE.",B00TXBOWVA,/gp/customer-reviews/R15GL2F28FD28E/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00TXBOWVA,"May 15, 2017",15
MaggieNYC,/gp/profile/amzn1.account.AHTEE2ZD5FOJGDVWHKWN7MEFPNMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Does not work every time. Unreliable.,1,Verified Purchase,Style: New,"The speakers sound great (when they work). I bought mine to use for Christmas and loved the sound when I tested it to make sure they worked. I stored it in a case I bought specifically for the speaker. Next time I tried to use it the Bluetooth didn’t work and it made a crackling sound when I played music.I called Logitech and they said it was under warranty but the asked me to trouble shoot it myself. They kept asking me to do this then that. I just got tired of the emails back and forth. It’s was only three months since I bought it and only used it once to test it. It never worked as it should again. A total waste of time and money. Finally returned it to Amazon and got a partial refund. Would not recommend to anyone. Sounds great, but unreliable.",B00TXBOWVA,/gp/customer-reviews/R1IVVX6O636TUS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00TXBOWVA,"January 25, 2019",3
Mark W.,/gp/profile/amzn1.account.AHAXXS6WANQH7XZAOLKTLAS56AJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,BEST SPEAKER EVER!!!,5,Verified Purchase,Style: New,"This speaker is WELL worth the money, it is soooo loud and works really well in long distances. The battery last me all day on a 14 hour shift, and it charges quicker then ANY battery I've ever chargedI Love THIS SPEAKER",B00TXBOWVA,/gp/customer-reviews/RGD5623XQ2U68/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00TXBOWVA,"February 17, 2017",11
Kyle,/gp/profile/amzn1.account.AHBKVPMLXBLYA4O5WXRA7KGCDELA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Buy new!,1,Verified Purchase,Style: New,1. Originally bought used from “sole providers”. It was half price so why not... well because it was too good to be true. The audio quality was crap. Not sure if the speaker was busted or a cheap replacement but crap all the same. Tried everything to improve the quality; no luck. So back it went. I’ve used a Megaboom and this was not the same experience. Return was fast but don’t waste your time unless you’re lucky and have time to waste.2. Bought new through amazon. Pretty much 2x as much but definitely worth $120. Exactly what I expected. All 5 stars.,B00TXBOWVA,/gp/customer-reviews/R13SSDLJ2XQE0T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00TXBOWVA,"January 5, 2019",3
L. Parry,/gp/profile/amzn1.account.AFQ7IBNF2TJX2LMAMG77DUOMHJZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Failed within a week,1,Verified Purchase,Style: New,Bottom line:  couldn’t find the mega or the boom. It sounded ok at mid volume or so. Too much compression as you turn it up. I found I was using the EQ too much to try to make it sound better. It stopped pairing and charging within a week. Sent it back and went with my first instinct: Bose Revolve Plus. Couldn’t be happier. I wrote a review there too.,B00TXBOWVA,/gp/customer-reviews/RJ4UEHNNMRA82/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00TXBOWVA,"August 27, 2018",4
