author,author_url,title,rating,verified,types,body,product_id,review_url,review_date,helpful
Jonathan Feldschuh,/gp/profile/amzn1.account.AFIJ6T64OXILWC62EPTP5RAQDZJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Easiest and Best way to renew your Norton Subscription,5,Verified Purchase,"Platform: Download Code [12 Month, with Auto-Renewal]Edition: 5 Device","This review is just about the process of renewing your Norton subscription using a product key after purchasing the Digital Download.  I have been using Norton for a few years, and I am reasonably satisfied with the product, but I have not compared it with competing products lately.  Thirty days before the 1-year license expires, Norton starts popping up ever more intrusive reminders to renew, pointing you to their site, where they want $79.99 for a year.  Renewing with this product on Amazon is half the price, and the renewal process is super simple.  Immediately after purchasing the digital content, click on the ""Your Games and Software Library Link"", and activate the product.  Then copy the (long) key shown.  Then in Norton security, click on Renew my subscription, then click on ""I have a key"" and enter the new key.  Sign into your Norton account to activate the new key, and you will have 366 more days.  One slightly annoying thing is that it does not give you credit for any remaining days on your old subscription, but considering that the renewal is half-off this is not a big deal.  There is no need to actually download anything or uninstall any old versions.",B015724OVG,/gp/customer-reviews/RL2WGHNFSDX8W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B015724OVG,"November 10, 2015",780
California Shopper,/gp/profile/amzn1.account.AHJKJ5RVSD35OYZJGY4ZXT2BMUQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,WARNING - FRAUD ALERT ATTACHED TO THIS PRODUCT!!!!!,1,Verified Purchase,"Platform: Download Code [12 Month, with Auto-Renewal]Edition: 5 Device","Be very careful with this product.  I am not sure what happened, but when we downloaded this file and attempted to install it on our computer, we got a fictitious warning from someone posing as a Norton representative saying that our software could not be installed because our network had been hacked and we had 16 unauthorized users on our account from a URL somewhere in Ohio.  What ensued was a 3 hour scramble to clean our network and install a 3rd party anti-hacking program to protect our network....  and the whole thing turned out to be a scam.  We verified with Norton direct that it was a scam, the individual we talked to was not employed by Norton, and his phone # was connected to a fraud ring in China.  If you get a pop up warning like this - ignore it and call Norton direct using their bona fide phone # (found online) and not the fake one on the pop up.  Note for Amazon - check this out because somehow, some way, the scammers used this software to gain access to my computer and potentially all my passwords and accounts.  I have had to put a freeze on all my accounts with the credit bureaus, all my bank accounts, cancel credit cards, the works.",B015724OVG,/gp/customer-reviews/R1PA7DSNWFB932/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B015724OVG,"August 26, 2017",178
Tony NYC,/gp/profile/amzn1.account.AFSLV5RX4RTPBTWM6V64LEXSF6CA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,SLOWS UP YOUR COMPUTER ~ BAD PERFORMANCE WITH WINDOWS 10,1,Verified Purchase,"Platform: Download Code [12 Month, with Auto-Renewal]Edition: 5 Device","HORRIBLE FOR WINDOWS 10I originally gave this product a 3 star review. I am now retracting that review and rating to 1 star.In a matter of days, this product slowed my computer down considerably.I build, repair and maintain computers for a living,I, of course, uninstalled my previous security suite, did a cleanup and made sure that my operating system was up to date and in tip top shape. I also checked my internet speed before, during and after to rule out networking and ISP issues. My speed was consistently high throughout.I then called Symantec for a refund after only a week of use.They directed me to a form on their web site that was pathetic to fill out. That form ALSO had to be printed out and MAILED to them via the USPS. THEN they told me it would take about SIX WEEKS to get my refund,. ,Can you imagine that a company that is an INTERNET COMPANY requires a form be sent to them via SNAIL MAIL?I, and millions of others who return this product are in essence giving them an interest free loan for six weeks.SO, the product SLOWS down your computer and they will make you jump through hoops to get a refund,Thank God that bought it through AMAZON where they just gave me a refund in a matter of one minute on the phone with them.KUDO's TO AMAZON ! ! !",B015724OVG,/gp/customer-reviews/R2ZY366Q31XRGR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B015724OVG,"December 11, 2017",91
Kindle Customer,/gp/profile/amzn1.account.AFZOD5U2YB74GTV3FMBBCEQUUHYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Norton Security Deluxe 5 Devices,5,Verified Purchase,"Platform: Download Code [12 Month, with Auto-Renewal]Edition: 5 Device","Note you have to go to the Norton Site to complete this install with your code key from Amazon. Pretty straightforward.  If you don't have an account with Norton already you will have to set one up as well as enter a credit card to set up for auto renew when this subscription runs out. You can deselect the auto renew at anytime in your Norton account after you get it set up. This is my fourth year with Norton Anti virus and am very satisfied with the products performance over the years. Recommend it highly. Have not set it up on my android yet so can not speak to that. Also have put on 2 other computers, very easy to do.",B015724OVG,/gp/customer-reviews/RVBGUTND10OKA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B015724OVG,"April 8, 2019",21
Amazon Customer,/gp/profile/amzn1.account.AFWVUSAXQWBVHXNXHPZJM3TF6PVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,I like Norton but....,3,Verified Purchase,"Platform: Download Code [12 Month, with Auto-Renewal]Edition: 5 Device","I like Norton but....I already had Norton on my pc and when I clicked the renew button, it didn't give me the best price. Then I went to Amazon and bought it. The problem with buying it from Amazon it that it didn't add a year to my existing time like it would have if I had used the renew button on the program. If you do what I did, I suggest you wait until the last day of your currrent plan before you buy the new version.Shame on Norton for not offering existing customers the best price.Cheers to Amazon for offering the best price!",B015724OVG,/gp/customer-reviews/R1D138R32X5NRP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B015724OVG,"November 14, 2015",362
T. Legge,/gp/profile/amzn1.account.AFVKTZPIYXCQZ3W3XYKROXY4TZAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Norton Safe Search censors opinions about Norton!,2,Verified Purchase,"Platform: Download Code [12 Month, with Auto-Renewal]Edition: 5 Device","Censored search results - not safety related! I could not disable/hide the huge Safe Search toolbar which was taking up too much screen space. I got frustrated and tried to search ""I hate Norton toolbar"". Norton censored my search results inappropriately! I know because I did the same search on Google and other browsers came up with all kinds of helpful results -  which is how I figured out how to disable the toolbar.Originally I just wanted to reduce the space the tool bar took up, but now I don't want Norton censoring out opinions about Norton - or any other item Norton decides it doesn't care for.PS - Norton's own solution - Right-clicking the Norton button - did not work for me to take care of the screen problem. On Firefox, the tools - extension - got rid of the toolbar. Or the SafeSearch toolbar can be hidden, but still function. Before the censoring, I would have just hidden the toolbar. Also, tons of adverts show up when using Norton Safe Search.",B015724OVG,/gp/customer-reviews/R16ODD9RUH4U45/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B015724OVG,"February 17, 2017",39
Primo,/gp/profile/amzn1.account.AEVLIKMO43Y3AP3OXCWTIZ5PBD7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Didn't want to install on 5 devices and Norton's Advertising is getting out of hand...,3,Verified Purchase,"Platform: Download Code [12 Month, with Auto-Renewal]Edition: 5 Device","This is probably the last time I use Norton. First of all this product would not install on 5 devices. It kept insisting that this was only a 3 license product. Got on chat with a support agent that had difficulty communicating clearly, but after some time we got it fixed. They changed the product internally and I just had to reactivate on all my machines.While annoying, this by itself would not have made me dump Norton. Its their constant advertising and scare tactics. I don't want to use lifelock, it had a terrible reputation before Symantec bought it. I also already have a different better password manager. Stop bugging me about your IDsafe. Norton's used to break every time Firefox updated forcing me to buy a different product. I'm sure its gotten better, but why change from something I'm already very satisfied with? Besides the regular advertising (my PC is not a TV !) scare tactics like with the Krack vulnerability really annoys me. This vulnerability affects wifi, but if you are on a wired network at home, guess what it doesn't affect you. Not everything is vulnerable to this. Also many products have patches for this vulnerability. This is all about pushing their products and I've got other things to do then be distracted by advertising.",B015724OVG,/gp/customer-reviews/R2ALDZBQC0YDRK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B015724OVG,"January 4, 2018",18
Michael Secour,/gp/profile/amzn1.account.AE2BFUVRLK7S24PBVXRRHM6CNYFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"When it is good, it is very, very good; when it is bad it is horrid",1,Verified Purchase,"Platform: Download Code [12 Month, with Auto-Renewal]Edition: 5 Device","I have used Norton for several years and have been relatively happy. I paid for a 2 year subscription two years ago -- before upgrading my computer to Windows 10. After upgrading my computer to Windows 10, Norton updated my software from the old Norton 360 to Security Premium. It worked smoothly but coverage for 10 devices with added protection for families with children was simply overkill for a retired couple. I decided to save money by switching to the more affordable Norton Security Deluxe. I chatted online with a Norton agent in order to receive advice on the best way to remove Premium and install deluxe. The helpful agent offered to do it for me by taking control of my computer. That was probably my big mistake. After the Norton agent removed Premium and installed Deluxe on my desktop computer I chose to do the same by myself on my laptop computer. The laptop has no issues but the Deluxe installation performed by the Norton rep has some serious problems. I returned to Norton support. Three different technicians spent a combined 3 hours and 15 minutes on my computer and have been unable to leave me with a successful installation. Their final solution was to tell me I would have to create a new User account on my computer and delete my old one. I started that process but have run into some serious challenges in creating an alternate account that will successfully handle our Outlook accounts and successfully network with my other computer. I've decided that Norton is the tail trying to wag the dog. I am currently looking at alternative products. Very disappointed with Norton after many good years.",B015724OVG,/gp/customer-reviews/R26EUR6KOAFEJL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B015724OVG,"January 31, 2017",29
lamar,/gp/profile/amzn1.account.AHOBLNNHUGZ3CZESGDP2CRHHQV5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Disappointed in Norton anti-virus coverage  which I ordered from Amazon,1,Verified Purchase,"Platform: Download Code [12 Month, with Auto-Renewal]Edition: 5 Device","I paid Amazon  for a one year subscription with Norton Internet Security for 5 PC's.  I have used Norton anti-virus protection for at least 20 years and am well pleased with this product.  I liked the price about $35 which Amazon was promoting to cover 5 PC's for a year.  However, after I used it on 2 PC's I tried unsuccessfully to install this program on a third PC and received an error message from Norton that there were no more subscriptions available on this subscription for the remaining 3 PC's.  I contacted Norton and they confirmed that the first two PC's were covered but no more coverage was available for me on the Amazon subscription.  I explained the situation to them and they were very apologetic.  Norton told me that I could get one year coverage on 10 PC's for $49.99 and that as a matter of good faith on their part, they would sell me this coverage for only $25.00.  I personally checked the two PC's on which the Amazon Norton anti-virus system had been installed and determined that they were  functioning properly.  In summary, I was disappointed in Amazon and will deal directly with Norton for future subscriptions.",B015724OVG,/gp/customer-reviews/R2S14D8OKTCVQ0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B015724OVG,"May 27, 2017",16
Ashley C.,/gp/profile/amzn1.account.AFCEUKDHS3MI5EHBGZRB2YMIJTCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,iOS Owners Beware,2,Verified Purchase,"Platform: Download Code [12 Month, with Auto-Renewal]Edition: 5 Device","Buyer Beware.  It says ""secures up to 5 PCs, Macs, iOS & Android devices.""  This does not include iOS devices.  A family member and I purchased one for each of us (because we have a mac and 2 iOS devices each) thinking that we would need 3 devices to protect our devices and we come to find out we can only use the program on one device (the Mac).  I contacted Norton directly and was told they only offer contact back-up and anti-theft protection on iOS devices only and that is described on their website.  The Amazon description does not tell any of this in fact it states that it does secure my iOS device.",B015724OVG,/gp/customer-reviews/RAPWW755Z0PFH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B015724OVG,"September 23, 2016",18
