author,author_url,title,rating,verified,types,body,product_id,review_url,review_date,helpful
"Donris Jeanfreau, Gretna, Louisiana",/gp/profile/amzn1.account.AHICXULXL522EQK47JMRTQH5CTJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Always get the protection.,5,Verified Purchase,Service plan term: 3 year,"On everything, I purchase I always get the warranties. Many times I have had to use it, & have saved so much money. The max time is a must for me. To get the protection plan is a must. Many manufacturers will offer for 1 year, they just cover certain guidelines. The extra protection covers so much more. Never pass up this extra warranty. It is worth I would say as good as gold. Many of my friends have now followed buying that extra protection, you just never know what will happen. An example just as the warranty from the manufactory is over something happens. Then you want to kick yourself for not paying a little more for that protection plan the salesperson spoke about. Don't be one of those people.",B01IQEIZ5S,/gp/customer-reviews/R2XLBTKLOA75PS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01IQEIZ5S,"November 30, 2018",4
GMan,/gp/profile/amzn1.account.AHPX6H5OVZX6374VCJMA5DN5ZN6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Square Trade is making non-Square sales!,1,Verified Purchase,Service plan term: 3 year,"This 3-year plan for a $79.99 Echo costed $14.99 plus tax.Three months ago, the same plan for a $249 Sonos was for 4-years and costed ONLY $12.10 plus tax.So, Square Trade increased the price a little and CUT one full year off of the coverage which is 25% of the original term!!  I know that the economy has improved this year but come on..... DON'T price GOUGE your customers!!!  Seriously...",B01IQEIZ5S,/gp/customer-reviews/RQ4MVRN7C7EE7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01IQEIZ5S,"November 6, 2018",3
Mobick,/gp/profile/amzn1.account.AFOCELNLETNJC33DJUSUOZ5KKGAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Awesom; within the next 5 years or less, people will be using Alexa for everything.",5,Verified Purchase,Service plan term: 3 year,"Once you synch with your Iphone and internet, the magic happens.  I would get one for your kitchen, Master Bedroom and if you have a den or home office, one for that room.  Alexa is becoming my personal assistant.  I own my own business and it organizes my life, if you allow it too.  Just read up on how to make Alexa  work via your Iphone and again, it is amazing.  If you have a very structured life with not much socializing,  an 8-5Pm mon-fri work week with little deviation, it isn't so ""phenominal"", although convenient, as one can just accesss the intrenet via your voice.  I wish it were more like Watson, but I am hoping I see that day before I die.  Just give her your schedule for the week and tell her to remind you and when she wakes you up, you get a ""good morning, you have the following reminders for today.....""  It is awesome.",B01IQEIZ5S,/gp/customer-reviews/RLTLTD0NYEW3K/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01IQEIZ5S,"February 24, 2019",
Maria Gionfriddo,/gp/profile/amzn1.account.AHWWFHZPAV6P5ZAHLED345M2EVMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Five Stars,5,Verified Purchase,Service plan term: 2 year,Perfect it was what I expected,B01IQEIZ5S,/gp/customer-reviews/R12HESKKI5R1V9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01IQEIZ5S,"April 11, 2018",4
Bob,/gp/profile/amzn1.account.AFWZLXZBECHAAWRGGONKN62A6J2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Buy a protection plan.,5,Verified Purchase,Service plan term: 2 year,In case of lighting or faulty parts.,B01IQEIZ5S,/gp/customer-reviews/RIOV6OZHN7DQH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01IQEIZ5S,"July 8, 2018",3
joann laporte,/gp/profile/amzn1.account.AGHCVX7GSOO7BQ7XIWMV5SJWYBSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Protection,5,Verified Purchase,Service plan term: 2 year,Its a protection plan nothing to write,B01IQEIZ5S,/gp/customer-reviews/R3LZBM3TEW9QVK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01IQEIZ5S,"May 28, 2018",3
Mark R. Treegoob,/gp/profile/amzn1.account.AF4BS43E3D6MCNVD3RUVF5OBAPUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Good program to protect the Echo,5,Verified Purchase,Service plan term: 2 year,"Good program to protect the Echo, as I had read people had it stop working and no recourse from Amazon without it.",B01IQEIZ5S,/gp/customer-reviews/RGTKOKV4YEYXK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01IQEIZ5S,"November 16, 2017",16
Elvis Baez,/gp/profile/amzn1.account.AFBZEGPRJ6DZAQS2GVFFW7LZVBPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Five Stars,5,Verified Purchase,Service plan term: 2 year,Nice,B01IQEIZ5S,/gp/customer-reviews/R3IO2X2WCKBRE2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01IQEIZ5S,"January 11, 2018",3
L E Denyer,/gp/profile/amzn1.account.AGBDQQNDS4TSYXHOB3WCWARDO5OQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Should be beneficial over time,5,Verified Purchase,Service plan term: 3 year,I expect this will come in handy over time.,B01IQEIZ5S,/gp/customer-reviews/R2WRQDV7GWY6ZO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01IQEIZ5S,"May 18, 2018",2
Amazon Customer,/gp/profile/amzn1.account.AFKNCEPWUANPITUH6MGHAYRJP7OQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,I'll never use this but it good to have it,5,Verified Purchase,Service plan term: 2 year,"Hopefully, I'll never use this but it good to have it.",B01IQEIZ5S,/gp/customer-reviews/R3CE7WM7E6TT24/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01IQEIZ5S,"April 13, 2018",2
