author,author_url,title,rating,verified,types,body,product_id,review_url,review_date,helpful
Sir Mike,/gp/profile/amzn1.account.AGRH2RZZ5BZ7ORPNMHV53MNZSFKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Pinhole Bright Spots and Other Issues,3,Verified Purchase,Digital Storage Capacity: 8Offer Type: With Special OffersColor: BlackOption: Without Kindle Unlimited,"I have owned a Kindle Paperwhite since 2014. I really liked that old one and gifted it away a while ago. Perhaps I have had too much expectation for this new 2018 version (waited for many months for the release), I felt quite disappointed with a few of its issues.First I must be clear that I am a fan of e-books, and I think Kindle Paperwhite has always been a nice device, light, easy to use, easier on the eyes than an LCD screen, easy to look up words, etc. I also used a Kindle Oasis for a couple of days, I don't feel comfortable with the hard slick aluminum back, and its front lights are located on the sides, so the slight uneven light can be observed from left to right; while for Paperwhite with bottom lights, the unevenness is from top to bottom, meaning within each text line, the light is usually even, therefore less distracting to reading.Here comes the new 2018 Paperwhite:I like the screen is flat with the bezels now. However, both the first device I received and the subsequent replacement have a bright pinhole dot under the screen (see photos). It's like a piece of tiny defect or dust above the e-ink text and located in the light distribution layer (my guess). When the front light is adjusted to a high level, the dot becomes quite bright and distracting. I was surprised the second device had the same issue (just my luck or something else is going on here?), but because it's near the corner, I decided to live with it. This pinhole bright spot issue apparently can be found on the previous generations as well based on many reviews, I am just astonished Amazon hasn't fixed it.Also, I don't know what happened with the charging cable, it took me a lot of effort to plug it into the device, and pull it out, it's like as if the connectors are not made well.(Update Jan 26, 2019: the difficulty of plugging in the cable only occurred during the first couple of uses, it became normal and smooth later.)Also, the screen feels easier to smudge than my old Paperwhite. The texts appear slightly blurrier where there are fingerprints.Another issue is that the screen has a ton of reflection from bright windows or light sources (please see my photo, taken under an east-facing window in the afternoon). I don’t remember if it has always been like this or it’s because of the new screen update. Even with the window blinds shut, I had to tilt Kindle to certain angles to avoid the glare, albeit softer than on an LCD screen, still quite distracting. Under the same lighting, a real paperback has no reflection glare issues.Furthermore, when front light is on and when external ambient light is somewhat dim, my replacement Kindle Paperwhite appears a bit yellower near the bottom, especially on the left side, it’s distracting but hopefully I’ll get used to it. It’s like real paper books getting old and parts of pages turning yellow—I try to convince myself.(Update Jan 26, 2019: other reviewers have mentioned issues with poor battery life. My experience is similar that if I don't use it for a few hours, even with WiFi turned on, the device will enter something like a hibernation mode, which requires a bit more time to wake up, but it allows the battery to last for many weeks if left on the shelf. If I read about 1-2 hours a day with wifi on, the battery drains very quickly, and will hardly last beyond a week. However, If you keep airplane mode on during reading, it will significantly conserve battery, the only inconvenience is that if you don't know a word and the dictionary also doesn't have it, which is quite likely the case, Wikipedia won't be able to show up without WiFi.)Perhaps I’m just asking too much for a digital device. Overall, it’s still a great device to read books, and Amazon still provided a fast replacement when I asked. However, with these experiences, I can no longer swear to e-readers. I don’t write reviews often, but I feel strongly about this product and sincerely hope it will help fellow costumers and help Amazon improve their devices.",B07CXG6C9W,/gp/customer-reviews/R37BPUYIJU2HP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07CXG6C9W,"November 12, 2018","3,241"
E. Hinrichsen  II,/gp/profile/amzn1.account.AFQQ443QSHAQAKHBUCK56IG2JP4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Works fine, replaces a Gen 3.",3,Verified Purchase,Digital Storage Capacity: 8Offer Type: With Special OffersColor: BlackOption: Without Kindle Unlimited,"If you own an earlier Paperwhite and it's still functional there is no compelling reason to buy the Gen 4 ""All-New"" Paperwhite ( Amazon misleadingly refers to this as ""10th Generation"". It's a 10th generation Kindle e-reader but only the 4th generation Paperwhite ) unless a limited degree of water resistance (not waterproof as they claim) is important to you or you want Bluetooth capability for Audiobooks. Neither of these are remotely important nor needed by me in an e-reader and Audiobooks are handled better by smaller, lighter and less power hungry devices. The additional storage is coals to Newcastle as Amazon's cloud can hold any overstorage needs an owner has. Personally, I don't know anyone who has ever run out of onboard storage on any Kindle, including the very first keyboard models, despite loading them with hundreds of books. The much touted, by Amazon, thinness and lightness of this edition is, in my opinion, overblown. Yes it is slightly thinner and slightly lighter but not paradigm changing. Also beware: the supplied micro USB cable packaged with mine will not fit into the device, maybe yours will. All in all I find it breathtakingly stupid and/or venal of Amazon to ship a device so poorly engineered and quality controlled as to not have a functional charging cable. I bought this Kindle solely to replace a Gen 3 whose battery was failing. Amazon took every other Paperwhite edition off the website and left no choice but this one at $10 more than the previous edition. It's a Kindle, it's fine, but it's no game changer. If you buy it thinking it is I think you'll be disappointed.",B07CXG6C9W,/gp/customer-reviews/R38NFQE9ZFPBW0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07CXG6C9W,"November 12, 2018","1,865"
Ship210,/gp/profile/amzn1.account.AEQT2DEYU3OGALOBNSR7YP6KIGPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Battery life is awful,3,Verified Purchase,Digital Storage Capacity: 8Offer Type: With Special OffersColor: BlackOption: Without Kindle Unlimited,"I love Kindle, have always had one since the first edition.  This is my third PaperWhite version of the Kindle.  The battery life is non-existent.  If you leave the WiFi option on, it drains the battery life within 9-10 hours even if you are not using the device.  If you disable the WiFi, the battery life lasts a bit longer (approx 3-days) using the device 2-3 hours a day.  The low rating is because of the very low battery life and inability to keep WiFi on all the time.  Otherwise, my Kindle is my best friend.  I most likely will return it because of the lack of battery longevity.",B07CXG6C9W,/gp/customer-reviews/R2XLFP626GRWEM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07CXG6C9W,"November 13, 2018","1,556"
Rustic,/gp/profile/amzn1.account.AF6E4B3NG2DELL5ZFWPPZ4W6UDNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,A Review From 2 Perspectives,5,Verified Purchase,Digital Storage Capacity: 8Offer Type: With Special OffersColor: BlackOption: Without Kindle Unlimited,"I feel I need to approach this review from 2 perspectives:1. If you are somewhat new to the Kindle experience and you bought this one.2. If you are a previous Kindle or Paperwhite owner and upgraded to this one.If you are NEW TO THE EXPERIENCE or upgrading from an old Kindle like a Keyboard, welcome. This new Kindle merits 5 stars. You're going to love it. Here are some Kindle Paperwhite features you'll enjoy:* Built in light. Reading in bed while someone is trying to sleep next to you is now an easy joy.* Touch screen. Getting around your Kindle is easy. Turn pages, shop in the store, all by touching the screen.* Waterproof. This is a new feature to this Kindle. Bring it in the pool worry free!* Bluetooth. Sync this up with a speaker or headphones to have a book read to you.Besides that, this Kindle is thin and light. It doesn't fatigue your hand at all. The fonts are adjustable for size. The light is adjustable for brightness. The color of the light is somewhat grayish. My older Paperwhite had the blueish hue which I found a little unnatural. I bought the Amazon case and when you close the cover the Kindle automatically sleeps and when you open the cover it automatically wakes up. I find this Kindle to be a little faster than the previous version. If this is your first Paperwhite there is only reason to be content with your purchase.Now, if you are UPGRADING FROM AN OLDER PAPERWHITE I'd still be happy (I'm still glad I did upgrade) but there were a few things that made me go hmmmm.First off I expected this Kindle to have the latest software. It didn't. I'm waiting for the update where the home page scrolls and you could save font themes. Why doesn't a brand new Kindle not have the latest software? Not a deal breaker because I know the update will be coming, but my old Paperwhite was updated. Last time I checked the update page it didn't even show the update for this version. A little disappointing.Secondly, I had the Paperwhite from a few versions ago, the one with 212 ppi. Upgrading to this one with 300 ppi, I expected the font to be sharp, bold, and clear. Well, I'll just say that it didn't stink. Actually I found it to be a little greyed out, a little washed out to say it another way. Now, this is totally adjustable of course. The font could be bolded and size changed. But again, a little disappointed.The software is exactly the same as my older version, minus the upgrade of course. I wish Amazon would give us more fonts to choose from. I know that we could download fonts now but it would just be nice if they were built in to begin with.So my two biggest gripes are not shipped with the latest software and underwhelming font sharpness. From this perspective I'd give it a 3 1/2 or 4 star rating.But having said that I have no regrets upgrading at all. I would do it again. The Paperwhite experience in general is something I find amazing. When I'm finished with a book I go right to the store and check out samples, download free classics, or pull the trigger on a purchase based on my mood right then and there. I wouldn't trade it for anything.If you are new to Kindle or upgrading from a really old one don't let my gripes deter you. The Paperwhite is the gold standard of e-readers. At an affordable price you're getting this gold standard. And since this Kindle boasts being waterproof, bluetooth, being thinner and lighter, and with 8gb of storage, it's a no brainer.",B07CXG6C9W,/gp/customer-reviews/R2XY07TH0HTFV1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07CXG6C9W,"November 12, 2018",937
Modern Xena,/gp/profile/amzn1.account.AGMRYWS4BUMOAVNJ6HBKZ6IAYJOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Battery life lasts weeks if you don't read,3,Verified Purchase,Digital Storage Capacity: 8Offer Type: With Special OffersColor: BlackOption: Without Kindle Unlimited,"This is my fourth Kindle. I started with the classic, moved to the one with a keyboard, and then the Paperwhite, and now the Paperwhite 2.0. I've now had it for five days. When I got it, I fully charged it.I haven't tested this in water, so the only thing I can put in the pros column is the increased storage. Otherwise, it seems exactly the same as the original Paperwhite. I don't want to return the device because I can work around the issues, but I also don't want to give it a great rating given the issues I've seen so far - hence the three stars.**Issues I had with the original Paperwhite that persist with this version:**1. Occasionally unresponsive screen. When pressing to go forward or back, the device will sometimes freeze for a second before performing the required command. Based on other reviews, I can only assume this is a device issue. I was hoping it would be fixed with this version, but apparently not.2. Battery doesn't meet marketing claims. I'll be clear upfront: I read a lot, and I read fast. I average three to five books a week, depending on the length of the book. 30% of my reading is done on my phone via Kindle app, and the other 70% is done on my Kindle.Amazon claims ""battery lasts weeks."" If you don't use the device, that may be true. If you do, though, I'd say it lasts about a week. In the five days I've had this device, I've spent about twenty hours reading on it. The battery is half gone, so I assume its full life is 40 hours. Not bad - if the marketing claim said that the battery lasts a week (singular). Again, not enough to make me return the device, but it's annoying - especially given the increased price.**Issues I had with the original Paperwhite that I haven't experienced with this version:**1. Struggling to open large documents or books and occasionally crashing and freezing when getting too far into the document.2. Slowing down when more books were downloaded. It performed best when only 8-10 books were downloaded on the device at a time and the others were cleared out.3. Fully charged battery running out after six consecutive hours of reading, requiring a recharge (annoying, given the ""weeks"" statement when it didn't even last a day).I'll update this review later to confirm if these last issues are resolved with this new version or if they crop up after more use.",B07CXG6C9W,/gp/customer-reviews/R3GX5TCQ6ZDVI4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07CXG6C9W,"November 22, 2018",679
D. Bier,/gp/profile/amzn1.account.AET4XULLQMPGWVLT3J2WSHCGAD3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,It’s waterproof. Everything else is worse.,1,Verified Purchase,Digital Storage Capacity: 8Offer Type: With Special OffersColor: BlackOption: Without Kindle Unlimited,"It’s infuriating that Amazon went to market with this machine. Do not upgrade from prior Paperwhites.1. To unlock the device, it goes through a long “waking up” period where the backlight is turned up full blast for some reason. It then reverts to your normal backlight setting after unlocking. I blind myself every night reading in bed. All previous Paperwhites unlocked instantly, with no dumb backlight. After you lock it, it will unlock instantly again for a few minutes afterward, so it seems to be “going to sleep” in some deeper way — probably to save battery life.2. It is not significantly lighter, but it is just SLIGHTLY smaller so that it doesn’t fit in the old Paperwhite cases. They obviously did this just to force you to buy a new case. Even worse, there are hardly any cases that fit this design—even from Amazon.3. The battery life is bad, possibly because of the Bluetooth connection. You can turn it off in the settings menu with the WiFi, but it’s disappointing that they only added a feature by making battery life worse AND adding that stupid “waking up” process.Pros:Yes, it’s waterproof—although I mainly go it to stop dog hair being caught in the screen edges. The Bluetooth feature for audible does work, although it’s not better in any way than using your phone.It seems to have more precise control over the backlight brightness... after it wakes up and blinds you.Bottom line: this is not a finished product, and they shoved it out the door because they wanted to have it out for Christmas.",B07CXG6C9W,/gp/customer-reviews/R39R7G40FBZG15/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07CXG6C9W,"November 23, 2018",639
Truth Seeker,/gp/profile/amzn1.account.AEAKDXOQ5BICCT33GPBNOWRSKEBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Worst Paperwhite EVER!,1,Verified Purchase,Digital Storage Capacity: 8Offer Type: With Special OffersColor: BlackOption: Without Kindle Unlimited,"After almost 4 years what do we get? Nothing of practical use. Is 8gb of storage really necessary? Of course not, unless you have 10,000 side-loaded books that will take you 20 years to read. Waterproof? After 10 years of owning Kindles I’ve never needed it. So unless you’re Michael Phelps or love to read underwater with goggles on its not necessary. Bluetooth? Does a real book have bluetooth? Worse yet, there is no immersive reading so it’s pointless....Why is this the the worst Paperwhite yet?It feels flimsy and hollow. It still has the same design as the original Paperwhite, you know the one released back in 2012 which makes it 6 years old. It still has the same Dinosaur bezels and now attracts more reflection, smudges and fingerprints than ever before. There is so much glare on this thing my girlfriend uses it to put make-up on. No but seriously a more appropriate name would have been the ""Kindle Refection"" or the ""Kindle Pinhole"" due to going through three different exchanges due to pinholes and dead pixels. It's sad. In my opinion, the previous Paperwhite 3 is better with the paper-like feel of the screen, it also has no glare and much better contrast and clarity. The new Paperwhite suffers from this as well as the dull and uneven lighting as seen in the picture. It also feels cheaply made and you can tell Amazon cut corners in assembly. As an example, the Voyage is also lighter but feels sturdy and solid in the hand whereas the new Paperwhite feels empty. Needless to say this new release is a major disappointment, but thats what happens when Amazon has no competition, the customer is the one to suffer. We all lose. Amazon is not innovating, they are not doing anything to improve the Kindle in practical ways that matter. More storage, waterproof and bluetooth are all gimmicks that the 99.9% of us don’t need. Its all a marketing scam.What would have been nice is page turn buttons, less monstrous bezels, less glare, and Comfort light (the adjustment of color temperature for nighttime reading). Even the Glowlight 3 has it, and it’s 2 year old technology. Side by side this Paperwhite is worst in every way that matters next to my Paperwhite 3. I'm just disgusted with Amazon right now for slacking and making us wait so long for a mediocre device. Lastly, what is up with the White Logo? Talk about distracting! Amazon went black on black with the Paperwhite 3 to avoid distractions and allow for a more immersive reading experience. To go back to a white distracting logo makes absolute no sense. Why Amazon? Here is a side by side picture of the new Paperwhite 4 which should be adequately named (on the left) and the superior Paperwhite 3 (on the right). The choice is clear.",B07CXG6C9W,/gp/customer-reviews/R26Q6FYR1SZ2NC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07CXG6C9W,"November 13, 2018","1,366"
Sherrie Thurman,/gp/profile/amzn1.account.AH3HVUWNIJWO3UJEK2BEECUEFTPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Great ereader!,5,Verified Purchase,Digital Storage Capacity: 8Offer Type: With Special OffersColor: BlackOption: Without Kindle Unlimited,"I am an avid reader and adore the new paperwhite!  To me, it’s the perfect reader. No light bleed thru, easy to control the amount of backlight, easy to download books and simply just easy to read my books.  It did not come with the very latest software uploaded but within 24 hours of being connected to my WiFi, the kindle updated itself.  Honestly, I’ve never purchased a smart phone that didn’t need an update within minutes of activation...Android or Apple.Using overdrive on my phone or tablet, it’s easy to borrow books and return books from my library. The newest update allows you to return right from your paperwhite and that is a huge improvement. As a prime member, I get a free book every month plus I follow several emails that alert to free or greatly discounted books.  8 GB of storage is way more than enough for me.  I find the weight to be significantly less than a paperback even with a case.  I am happy with this purchase!",B07CXG6C9W,/gp/customer-reviews/R2GKA3DEM6SGLA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07CXG6C9W,"November 16, 2018",396
N.,/gp/profile/amzn1.account.AH2DGCN2JNQIGMENTBNCF46QZV2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Meh,3,Verified Purchase,Digital Storage Capacity: 8Offer Type: With Special OffersColor: BlackOption: Without Kindle Unlimited,"My Kindle Voyage developed pinhole light bleeding so I decided to trade it in for $50 and a discount on a new Kindle.  First, I bought the Oasis - what a total disappointment!  High price and yet awkward to hold, awkward dimensions, horrendous battery life (mere hours), slow to boot up and lousy cover options.  Back it went.  I wasn't about to shell out a premium price for the exact same (old) Voyage tech and the Paperwhite was too big a downgrade (and ALSO long in tooth), so I held off on choosing a replacement.  I was very disappointed when all they came out with is this new Paperwhite, but I got it anyway.  At this point I'll stick with it, but if I could go back, I'd get a Kobo.This newest Paperwhite is ""meh.""  It's OK.  But it's only OK.  No night mode like the Kobo.  Light, but too small and very cheap feeling.  Case is the same overly expensive price, but feels and looks cheaper than the older Paperwhite cases (Hubby still has his 2nd Gen Paperwhite) - they even omitted the little silver tag on the cover, which jazzed it up a bit.  Like the Oasis, the newest Kindle Paperwhite takes several seconds to turn on - it's bad enough even my husband commented on it when we compared devices.  What on earth are they doing to make these SLOWER than old models?  How do they think people will find this acceptable?  My Surface Pro 4 runs an actual Windows 10 operating system and it boots at least as fast - faster than the Oasis.  Yes, the new Paperwhite is waterproof, but I've never NEEDED waterproofing, so I don't really care.  Backlight is OK but nothing special.  Screen is the same old epaper screen.The new Paperwhite isn't truly bad and it's definitely not great...it's just ""OK"".  It's DEFINITELY preferable to the Oasis.  If you aren't committed to the Amazon ecosystem for books, I'd suggest you check out Kobo or some other ereader brand, instead.  Amazon seems to be really missing the mark with their ereaders these days and it's truly disappointing.",B07CXG6C9W,/gp/customer-reviews/REXMB3O4K2P2V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07CXG6C9W,"November 14, 2018",311
Susan Anderson,/gp/profile/amzn1.account.AGE2ZC2XCGTVIKM4WCWLOPJDMM4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Charge time,4,Verified Purchase,Digital Storage Capacity: 32Offer Type: With Special OffersColor: BlackOption: Without Kindle Unlimited,It does not stay charged for weeks like the item detail state.  It only stays charged for a few daysCould this be a defective item?,B07CXG6C9W,/gp/customer-reviews/R15DM7EMRKF5QT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07CXG6C9W,"November 13, 2018",234
